,work_importance,religion_importance,overall_hapineess,overal_satisfaction_work,free_to_choose,life_satisfaction,pay_important_job,people _important_job,no_pressure_important_job,security_important_job,promotion_important_job,hours_important_job,usefulness_important_job,holidays_important_job,achieving_important_job,responsible_important_job,interesting_important_job,sex,age,marital_status,highest_educ_lvl,employment_status,numb_employees_organisation,job_type,duration_unemployment,country
28,very important,not important,not very happy,0,10,2,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,38.0,divorced,full 2nd maturity level certificate,unemployed,,,less than half a year,Turkey
29,very important,very important,not very happy,0,9,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,50.0,widowed,compl compulsory education,housewife,,,,Turkey
30,not important,very important,quite happy,0,1,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,35.0,married,inadequate education,housewife,,,,Turkey
31,very important,not important,not at all happy,10,6,1,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,44.0,divorced,full 2nd maturity level certificate,30h a week or more,100-249,skilled manual worker,,Turkey
32,very important,very important,not very happy,2,1,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,41.0,married,compl compulsory education,self employed,,unskilled manual worker,,Turkey
33,very important,not at all important,not very happy,8,10,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,30.0,married,higher educ- upper-level 3d certificate,30h a week or more,100-249,"professional worker (lawyer, accountant, teacher etc)",,Turkey
34,very important,very important,very happy,4,5,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,25.0,single,full 2nd maturity level certificate,self employed,,skilled manual worker,,Turkey
35,very important,not important,not very happy,0,10,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,19.0,single,full 2nd maturity level certificate,student,,,,Turkey
36,very important,quite important,not at all happy,0,6,1,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,56.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Turkey
37,very important,quite important,not very happy,0,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,49.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Turkey
38,very important,quite important,not at all happy,9,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,28.0,married,full 2nd maturity level certificate,less then 30h a week,1,skilled manual worker,,Turkey
39,very important,very important,quite happy,0,6,7,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,42.0,married,compl compulsory education,housewife,,,,Turkey
40,very important,quite important,quite happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,29.0,married,inadequate education,housewife,,,,Turkey
41,very important,very important,not at all happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,28.0,married,compl compulsory education,housewife,,,,Turkey
42,very important,very important,quite happy,8,6,6,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,42.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
43,very important,very important,not very happy,0,10,9,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,51.0,married,compl compulsory education,housewife,,,,Turkey
44,very important,not important,quite happy,0,6,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,19.0,single,full 2nd maturity level certificate,student,,,,Turkey
45,very important,very important,very happy,0,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,29.0,married,compl compulsory education,housewife,,,,Turkey
46,very important,very important,not at all happy,10,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,male,28.0,single,full 2nd maturity level certificate,30h a week or more,100-249,skilled manual worker,,Turkey
47,very important,very important,not at all happy,0,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,22.0,single,full 2nd maturity level certificate,student,,,,Turkey
48,very important,very important,not very happy,6,3,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,25.0,single,full 2nd maturity level certificate,30h a week or more,2-9,unskilled manual worker,,Turkey
49,very important,very important,very happy,10,5,8,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,29.0,married,full 2nd maturity level certificate,self employed,,skilled manual worker,,Turkey
50,very important,very important,quite happy,5,2,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,40.0,single,"2nd, interm general qualification",30h a week or more,25-49,junior level non-manual -office worker etc,,Turkey
51,not important,very important,quite happy,0,2,7,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,24.0,married,"2nd, interm general qualification",housewife,,,,Turkey
52,very important,quite important,quite happy,0,4,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,28.0,married,full 2nd maturity level certificate,housewife,,,,Turkey
53,very important,quite important,quite happy,0,7,8,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,41.0,married,full 2nd maturity level certificate,housewife,,,,Turkey
54,very important,quite important,quite happy,0,7,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,21.0,single,full 2nd maturity level certificate,student,,,,Turkey
55,very important,not important,quite happy,0,1,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,28.0,single,higher educ- upper-level 3d certificate,unemployed,,,less than half a year,Turkey
56,quite important,quite important,quite happy,0,10,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,60.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,middle level non-manual -office worker etc,,Turkey
57,very important,quite important,quite happy,0,10,6,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,37.0,married,full 2nd maturity level certificate,housewife,,,,Turkey
58,very important,very important,very happy,0,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,42.0,married,compl compulsory education,housewife,,,,Turkey
59,very important,very important,not very happy,0,4,7,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,18.0,single,full 2nd maturity level certificate,student,,,,Turkey
60,quite important,very important,not very happy,8,1,3,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,23.0,single,full 2nd maturity level certificate,30h a week or more,50-99,junior level non-manual -office worker etc,,Turkey
61,very important,very important,quite happy,10,10,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,30.0,married,compl compulsory education,30h a week or more,500-999,skilled manual worker,,Turkey
62,very important,very important,quite happy,7,5,9,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,58.0,married,inadequate education,30h a week or more,10-24,skilled manual worker,,Turkey
63,very important,not important,quite happy,5,10,3,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,25.0,single,higher educ- upper-level 3d certificate,30h a week or more,10-24,junior level non-manual -office worker etc,,Turkey
64,very important,quite important,quite happy,0,2,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,28.0,married,compl compulsory education,housewife,,,,Turkey
65,very important,not at all important,not at all happy,0,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,female,39.0,married,compl compulsory education,housewife,,,,Turkey
66,very important,very important,quite happy,5,10,4,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,22.0,single,"2nd, interm general qualification",30h a week or more,10-24,middle level non-manual -office worker etc,,Turkey
67,very important,very important,not at all happy,0,5,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,40.0,married,compl compulsory education,unemployed,,,less than half a year,Turkey
68,very important,very important,not very happy,0,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,48.0,married,full 2nd maturity level certificate,retired/pensioned,,junior level non-manual -office worker etc,,Turkey
69,very important,very important,not very happy,0,5,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,27.0,married,full 2nd maturity level certificate,housewife,,,,Turkey
70,very important,very important,not very happy,0,1,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,34.0,married,compl compulsory education,housewife,,,,Turkey
71,very important,very important,not at all happy,0,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,46.0,married,inadequate education,housewife,,,,Turkey
72,very important,very important,quite happy,0,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,41.0,married,compl compulsory education,housewife,,,,Turkey
73,very important,not important,not at all happy,8,8,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,30.0,married,higher educ- upper-level 3d certificate,30h a week or more,2-9,junior level non-manual -office worker etc,,Turkey
74,very important,very important,quite happy,0,8,0,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,23.0,married,inadequate education,housewife,,,,Turkey
75,not important,very important,quite happy,0,10,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,63.0,widowed,compl compulsory education,retired/pensioned,,skilled manual worker,,Turkey
76,very important,quite important,not very happy,10,10,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,19.0,single,full 2nd maturity level certificate,less then 30h a week,10-24,middle level non-manual -office worker etc,,Turkey
77,very important,not important,quite happy,5,10,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,39.0,married,full 2nd maturity level certificate,30h a week or more,50-99,junior level non-manual -office worker etc,,Turkey
78,very important,very important,quite happy,0,9,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,44.0,married,compl compulsory education,housewife,,,,Turkey
79,very important,not at all important,not very happy,0,8,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,40.0,married,inadequate education,housewife,,,,Turkey
80,very important,very important,quite happy,8,7,7,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,26.0,single,full 2nd maturity level certificate,30h a week or more,10-24,junior level non-manual -office worker etc,,Turkey
81,very important,very important,very happy,10,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,43.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
82,very important,very important,not very happy,0,5,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,19.0,single,full 2nd maturity level certificate,student,,,,Turkey
83,very important,very important,not very happy,4,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,28.0,married,compl compulsory education,30h a week or more,10-24,foreman and supervisor,,Turkey
84,very important,quite important,quite happy,10,10,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,23.0,single,full 2nd maturity level certificate,30h a week or more,2-9,"professional worker (lawyer, accountant, teacher etc)",,Turkey
85,very important,not important,quite happy,0,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,31.0,married,compl compulsory education,unemployed,,,less than half a year,Turkey
86,very important,very important,not at all happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,78.0,married,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Turkey
87,quite important,very important,quite happy,0,1,6,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,20.0,single,compl compulsory education,housewife,,,,Turkey
88,very important,not important,very happy,10,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,44.0,married,full 2nd maturity level certificate,self employed,,employer/manager of establ with less than 10 employees,,Turkey
89,very important,not important,not very happy,0,1,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,46.0,widowed,compl compulsory education,housewife,,,,Turkey
90,very important,very important,not very happy,0,10,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,33.0,married,compl compulsory education,housewife,,,,Turkey
91,very important,very important,quite happy,0,10,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,50.0,single,"2nd, interm general qualification",housewife,,,,Turkey
92,very important,very important,not very happy,0,6,6,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,22.0,single,full 2nd maturity level certificate,student,,,,Turkey
93,quite important,very important,quite happy,10,1,6,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,28.0,single,compl compulsory education,30h a week or more,10-24,skilled manual worker,,Turkey
94,very important,very important,very happy,0,10,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,29.0,married,compl compulsory education,30h a week or more,2-9,skilled manual worker,,Turkey
95,very important,very important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,61.0,married,full 2nd maturity level certificate,retired/pensioned,,member of armed forces,,Turkey
96,very important,very important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,49.0,married,compl compulsory education,housewife,,,,Turkey
97,very important,very important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,27.0,married,compl compulsory education,housewife,,,,Turkey
98,very important,very important,very happy,0,1,9,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,21.0,single,full 2nd maturity level certificate,housewife,,,,Turkey
99,very important,not important,quite happy,0,1,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,37.0,married,compl compulsory education,housewife,,,,Turkey
100,very important,very important,quite happy,3,1,8,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,30.0,married,compl compulsory education,30h a week or more,2-9,skilled manual worker,,Turkey
101,very important,very important,quite happy,1,10,1,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,39.0,married,compl compulsory education,30h a week or more,2-9,skilled manual worker,,Turkey
102,very important,not important,quite happy,8,10,8,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,25.0,married,full 2nd maturity level certificate,self employed,,employer/manager of establ with less than 10 employees,,Turkey
103,very important,very important,quite happy,9,10,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,25.0,married,compl compulsory education,30h a week or more,1000-2499,skilled manual worker,,Turkey
104,very important,very important,very happy,10,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,28.0,married,compl compulsory education,30h a week or more,1,unskilled manual worker,,Turkey
105,very important,very important,not very happy,7,10,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,41.0,married,compl compulsory education,30h a week or more,100-249,skilled manual worker,,Turkey
106,very important,very important,not very happy,0,1,4,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,41.0,married,inadequate education,housewife,,,,Turkey
107,very important,very important,not very happy,0,6,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,26.0,single,full 2nd maturity level certificate,unemployed,,,half a year -one year,Turkey
108,very important,very important,not at all happy,0,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,38.0,divorced,full 2nd maturity level certificate,housewife,,,,Turkey
109,very important,very important,not at all happy,0,5,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,55.0,single,compl compulsory education,retired/pensioned,,"professional worker (lawyer, accountant, teacher etc)",,Turkey
110,very important,very important,not at all happy,2,8,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,36.0,married,compl compulsory education,30h a week or more,2-9,skilled manual worker,,Turkey
111,very important,quite important,quite happy,0,2,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,21.0,single,full 2nd maturity level certificate,student,,,,Turkey
112,quite important,very important,very happy,0,1,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,41.0,married,"2nd, interm general qualification",housewife,,,,Turkey
113,very important,not at all important,not at all happy,6,9,3,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,30.0,single,higher educ- upper-level 3d certificate,30h a week or more,10-24,"professional worker (lawyer, accountant, teacher etc)",,Turkey
114,very important,very important,quite happy,6,1,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,female,21.0,single,full 2nd maturity level certificate,less then 30h a week,25-49,semi-skilled manual worker,,Turkey
115,not at all important,very important,quite happy,3,1,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,39.0,married,compl compulsory education,30h a week or more,10-24,unskilled manual worker,,Turkey
